fips_code,bulkdens_0,bulkdens_10,bulkdens_100,bulkdens_200,bulkdens_30,bulkdens_60,clay_0,clay_10,clay_100,clay_200,clay_30,clay_60,ph_0,ph_10,ph_100,ph_200,ph_30,ph_60,sand_0,sand_10,sand_100,sand_200,sand_30,sand_60,soc_0,soc_10,soc_100,soc_200,soc_30,soc_60,swc_0,swc_10,swc_100,swc_200,swc_30,swc_60,dayl,prcp,srad,swe,tmax,tmin,vp,ndvi
37105,148.2481301982097,150.8252726611533,168.7469109206298,172.73390846482837,159.41753053843587,164.71083986979713,13.745219602284473,14.973474133801512,29.09478727241319,25.09490323833348,25.610656316559634,30.181884517568424,53.28095955554731,52.69187200811646,52.00663622412589,52.80385286362974,52.18766527002075,51.955327846063945,47.10013330133864,46.18318511996683,38.99023596685996,44.07717026502976,39.81893081205587,37.70544388632129,4.020450441369267,2.5432310543651266,0.14805844801322152,0.05841084465710814,1.0540204938542528,0.3702286342455689,19.588052179906573,19.024208034535278,20.990273730121153,19.304143224453245,20.11254224950695,21.22724830414714,43200.1015625,4.9722825849045735,323.6732772212704,0.0,22.62523784331752,10.939922669450482,1478.960857703251,0.21101891943589204
37107,154.995084009213,156.75430269297578,167.93432534550473,169.56040796074572,161.08835965943564,165.0789354541288,13.020695510271839,13.791295225789264,25.618354851442216,24.321576168647947,21.53201428024027,25.561017703485533,53.81995582487834,53.52256605418238,53.38084285547929,53.99685539546415,52.938669834587344,52.82938214401154,58.29375994699298,57.64144782481532,53.335642912514075,58.35448517381602,52.09579225624791,50.45082933083562,3.169772517724429,2.541147354047033,0.38273050216436555,0.20575771632992126,1.1619096612228577,0.6080845392070541,16.80918761051946,16.54005392946812,17.28629199163537,17.044107671382264,16.9431576795109,17.467078696207437,43200.1015625,4.551512862969848,319.95553046458,0.0,23.094172343471037,11.620448580208517,1546.0920212619683,0.2002010047495205
37109,147.15957947042577,150.08853271915402,162.11143023320537,162.4016803565898,158.16791752107238,159.16770430283702,22.00655069632719,23.31742443771136,32.481388224291,29.435026859538887,31.078824164906013,34.17624520874265,57.245269625209936,57.079551645834826,57.688568730496485,58.07891743169171,57.27914230827514,57.47152914781355,42.845185166953954,42.0108103976921,39.09778426615223,42.86753577493685,38.125231644902286,37.03691110768556,3.4665727953739687,2.7676623327836647,0.40130029443806003,0.08250017163679305,1.442429392509382,0.8253952503889351,23.81952851049054,23.307089700626527,24.19182179826132,23.835927920319037,24.170568888531893,24.551603087648704,43200.1015625,5.224530785015885,324.8750024083006,0.0,21.989358828980528,10.151753388287789,1405.4785102292235,0.1949020983378061
37111,121.48775839047025,125.28002122248691,150.50809272460518,151.17550082235388,136.5635761072483,144.90740090769222,20.816650438626436,21.419157675185016,26.794125710204888,24.79231724419191,25.43545942390192,28.019012100885384,57.477048057771974,57.334911981786846,59.378741423780504,59.534396752375265,57.79454849107015,58.48294977964786,44.75071678914619,44.26432478749259,45.574735123094,48.89202851197991,42.818814235268114,43.04391949153646,7.823405892751671,6.648272917565207,0.6223657683790145,0.35728825015137167,2.447563612266137,1.0843616452225338,29.83845094620681,28.597395099670738,25.575763913045506,25.841804683236823,27.23836339997167,26.54498452729808,43200.1015625,5.724704075307651,325.006654195179,0.08356988357961136,20.159372882260964,8.363757126972326,1239.6720710285913,0.18179662901818328
37113,113.46740723257237,118.75920020553149,148.956283675254,150.12925881841429,130.85842182357874,142.88069459981475,18.79964870464124,19.384301994055434,20.28450179646112,18.63175992917397,21.385814238069816,21.916792562671713,52.7148768049279,52.6197130018669,54.21131491526734,54.5152743210044,53.262768063005744,53.564379283211814,48.46901615517023,47.96440482545481,53.37477527451196,56.293701479808774,47.6846896632391,49.88104252335873,11.22526960344768,8.494733255135065,0.7814185254666011,0.48931865768351507,2.7852007766512803,1.4599966997989737,33.04339585314519,31.134402178729385,24.41373495327641,24.489860684370907,28.2972894786547,26.112063607346478,43200.1015625,6.941031467908147,326.5235315146056,1.329798382749956,18.285387810389917,7.248206481308185,1147.4203892380756,0.16322731193048487
37115,119.89857817173645,123.75829631494324,150.93325857610364,152.10498220489768,134.88197392989952,145.35694407362473,19.111222823161867,19.798400602126254,21.652744531152656,19.911293851005958,22.479073824035684,23.215339980115584,53.434631413801604,53.3037840550118,54.939418673542306,55.18057363036193,53.73489357265818,54.309084529067604,46.777219217524056,46.19276126253265,50.12918879929889,53.039941380838926,45.2974266391709,46.80881321626451,9.019178704530102,7.177358730449334,0.638992930271507,0.3559983353378779,2.4455544452157496,1.1849319259988178,29.799634520210336,28.505474483797926,24.391020148005754,24.425304728945715,26.922230274304823,25.53482695226977,43200.10186888395,4.621738316251683,325.1489057796262,0.14631922753593868,18.372190346036504,6.6243653177150055,1108.8850628391403,0.16931680433282564
37117,149.00062954473037,151.9012140092918,167.83561061475183,169.88922547032922,159.0081392698624,164.38564859554933,13.877348205201702,14.695350868389067,22.663772763723234,21.13750257205359,20.546568687509172,23.31214224119269,50.92142539936902,50.58410304729186,51.21927356815074,51.852690728892235,50.423543294584924,50.36908557746755,55.533472277374216,54.93522922913579,55.57189951318114,60.56279368823928,51.07217492851115,50.92589196132974,5.115866440516159,4.176929594040154,1.3032799431513227,1.0546020542190577,2.108112181480743,1.503309851141454,18.025952985713666,17.44359524251488,17.148577927097662,17.08500767168477,17.313471149530915,17.485564947164246,43200.101915877145,4.315644863305037,315.95064203198956,0.0,22.697151209903264,11.63999317072923,1544.2258824613311,0.21002901682991282
37119,145.05528878034002,148.0180922693411,163.63533640670855,164.25488939016384,156.43434752578773,160.02943903460934,21.144275153189533,22.24596252680301,30.304320672872066,28.092905161557585,28.422599668563603,31.191374703802193,59.32325165571461,59.00675621355108,59.94709473868283,60.60028531222964,59.31756815042326,59.62051155508659,41.95995198046115,41.298459067494896,38.868672899093774,42.25397703066368,38.15567238503886,37.13517077656325,4.014050394989016,3.013591501193003,0.5539902928117978,0.1595855989502949,1.3665832305419057,0.9345483651761811,23.298721523057903,22.544786890190583,22.949029486567046,22.503534861257922,22.839454362366443,23.317272686195224,43200.1015625,4.4870304332124515,324.9589503279566,0.0,22.47708342530773,10.90748390152489,1472.8569637420367,0.16544673788595707
37121,115.57769769139858,120.3765051624503,148.01402827411033,149.3845339577454,131.66769779122933,142.4802825827502,18.41277088965303,18.930550214997393,18.697702758665553,16.560333007564076,20.92967101664452,20.66544747030813,53.85949522172572,53.691071248458286,55.6380632299903,56.130828088494084,54.1668721227684,54.83979622151261,49.27320624086251,48.861772393653695,54.67293649151668,57.97412354699046,48.42288029373626,50.77484019347873,10.938863699813982,8.404767568390024,0.9953392848475283,0.6913566264670372,3.1252857652829547,1.6009041904438652,30.93820963682636,29.59132079070021,24.204891083021582,23.991160510843805,27.645338475874915,25.518497417656036,43200.1041232471,5.203614209111947,325.3893865945272,0.20828014110666118,17.187701388076402,6.134059411528696,1067.731254162725,0.15597427595285107
37123,142.57159725180384,145.5764536748924,166.1673933983238,168.05481362161848,155.95768845106312,161.34172499170143,17.036703161541276,18.350978948447313,28.8325774509131,26.52642375617925,26.045061280859464,29.408449677790067,54.320934542118216,53.52629116722459,53.30462030190776,53.96901524647585,53.28996734174178,53.147916300322954,38.35155083626639,37.51805466614385,35.2952749747595,38.712426468767475,34.07983077511878,33.383216871333225,5.122717659814355,3.5945948529782843,0.1934417992477845,0.05673772870419211,1.1391046202078732,0.5540441041641401,23.10344226628689,22.202440608454744,22.592274076101013,21.71077960737997,22.611538028737595,23.151651045932468,43200.1015625,4.588182998942476,323.5764411215389,0.0,22.425750787844994,10.938042970149743,1473.2776202418158,0.2105477301332493
